[0.25, 0.25, 0.25, 0.25]
[0.1438, 0.2146, 0.4271, 0.2146]
[0.1287, 0.1694, 0.5324, 0.1694]
[0.1095, 0.146, 0.5986, 0.146]
[0.0995, 0.1306, 0.6393, 0.1306]
[0.093, 0.1212, 0.6646, 0.1212]
[0.089, 0.1154, 0.6803, 0.1154]
[0.0865, 0.1117, 0.69, 0.1117]
[0.085, 0.1095, 0.696, 0.1095]
[0.084, 0.1081, 0.6997, 0.1081]
[0.0835, 0.1073, 0.702, 0.1073]
[0.0831, 0.1067, 0.7035, 0.1067]
[0.0829, 0.1064, 0.7043, 0.1064]
[0.0827, 0.1062, 0.7049, 0.1062]
[0.0826, 0.1061, 0.7052, 0.1061]
[0.0826, 0.106, 0.7054, 0.106]
[0.0825, 0.1059, 0.7056, 0.1059]
[0.0825, 0.1059, 0.7056, 0.1059]
[0.0825, 0.1059, 0.7057, 0.1059]
[0.0825, 0.1059, 0.7057, 0.1059]
[0.0825, 0.1059, 0.7057, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
[0.0825, 0.1059, 0.7058, 0.1059]
