[0.25, 0.25, 0.25, 0.25]
[0.125, 0.2083, 0.4583, 0.2083]
[0.1042, 0.1458, 0.6042, 0.1458]
[0.0729, 0.1076, 0.7118, 0.1076]
[0.0538, 0.0781, 0.7899, 0.0781]
[0.0391, 0.057, 0.8469, 0.057]
[0.0285, 0.0415, 0.8885, 0.0415]
[0.0208, 0.0303, 0.9187, 0.0303]
[0.0151, 0.0221, 0.9408, 0.0221]
[0.011, 0.0161, 0.9568, 0.0161]
[0.008, 0.0117, 0.9685, 0.0117]
[0.0059, 0.0085, 0.9771, 0.0085]
[0.0043, 0.0062, 0.9833, 0.0062]
[0.0031, 0.0045, 0.9878, 0.0045]
[0.0023, 0.0033, 0.9911, 0.0033]
[0.0017, 0.0024, 0.9935, 0.0024]
[0.0012, 0.0018, 0.9953, 0.0018]
[0.0009, 0.0013, 0.9966, 0.0013]
[0.0006, 0.0009, 0.9975, 0.0009]
[0.0005, 0.0007, 0.9982, 0.0007]
[0.0003, 0.0005, 0.9987, 0.0005]
[0.0002, 0.0004, 0.999, 0.0004]
[0.0002, 0.0003, 0.9993, 0.0003]
[0.0001, 0.0002, 0.9995, 0.0002]
[0.0001, 0.0001, 0.9996, 0.0001]
[0.0001, 0.0001, 0.9997, 0.0001]
[0.0001, 0.0001, 0.9998, 0.0001]
[0.0, 0.0001, 0.9999, 0.0001]
[0.0, 0.0, 0.9999, 0.0]
[0.0, 0.0, 0.9999, 0.0]
[0.0, 0.0, 0.9999, 0.0]
[0.0, 0.0, 1.0, 0.0]
[0.0, 0.0, 1.0, 0.0]
[0.0, 0.0, 1.0, 0.0]
[0.0, 0.0, 1.0, 0.0]
[0.0, 0.0, 1.0, 0.0]
[0.0, 0.0, 1.0, 0.0]
[0.0, 0.0, 1.0, 0.0]
[0.0, 0.0, 1.0, 0.0]
[0.0, 0.0, 1.0, 0.0]
[0.0, 0.0, 1.0, 0.0]
[0.0, 0.0, 1.0, 0.0]
[0.0, 0.0, 1.0, 0.0]
[0.0, 0.0, 1.0, 0.0]
[0.0, 0.0, 1.0, 0.0]
[0.0, 0.0, 1.0, 0.0]
[0.0, 0.0, 1.0, 0.0]
[0.0, 0.0, 1.0, 0.0]
[0.0, 0.0, 1.0, 0.0]
[0.0, 0.0, 1.0, 0.0]
[0.0, 0.0, 1.0, 0.0]
